id,product_name,price
1,Cattail Hearts,38.22
2,Amarula Cream,6.72
3,Cloves - Ground,36.6
4,"Ecolab - Orange Frc, Cleaner",40.97
5,Papayas,42.99
6,The Pop Shoppe - Cream Soda,2.85
7,Chambord Royal,28.87
8,Carroway Seed,41.82
9,Lady Fingers,16.17
10,Lemon Tarts,34.55
11,Longos - Cheese Tortellini,32.88
12,Fennel,15.94
13,"Bread - White, Unsliced",13.48
14,Radish,34.19
15,Beef - Striploin Aa,14.84
16,"Water - Mineral, Natural",17.08
17,Turkey - Ground. Lean,42.03
18,Garlic - Peeled,40.78
19,Shrimp - Black Tiger 16/20,16.35
20,Fennel,42.86
21,Bread - Multigrain Oval,35.36
22,Ice Cream Bar - Rolo Cone,23.22
23,Mushroom - Porcini Frozen,38.86
24,Pastry - Mini French Pastries,2.81
25,Sauce - Thousand Island,14.31
26,Muskox - French Rack,10.08
27,Oil - Avocado,35.07
28,Fennel,21.66
29,Flavouring - Orange,18.7
30,Pie Box - Cello Window 2.5,6.78
31,"Sauce - Black Current, Dry Mix",23.06
32,Wine - Clavet Saint Emilion,43.24
33,"Wine - Magnotta - Red, Baco",13.67
34,Cocktail Napkin Blue,15.61
35,Wine - Black Tower Qr,31.46
36,Ice Cream Bar - Hagen Daz,18.16
37,Chivas Regal - 12 Year Old,21.94
38,Chick Peas - Dried,49.52
39,Macaroons - Homestyle Two Bit,9.65
40,Wine - Coteaux Du Tricastin Ac,44.01
41,Apple - Granny Smith,3.83
42,"Cherries - Bing, Canned",8.91
43,Bread - Focaccia Quarter,14.89
44,"Brocolinni - Gaylan, Chinese",10.95
45,Soup - Base Broth Beef,38.58
46,Lamb - Ground,12.53
47,Tomatoes - Cherry,27.8
48,Beans - Yellow,1.9
49,Bay Leaf,29.36
50,Appetizer - Smoked Salmon / Dill,2.81
